Fe-C: 	 0.06162847081236744, 	 Fe-Si: 	 0.708796494855678 	 in ( C-Si)
C-Fe: 	 0.16524904992964828, 	 C-Si: 	 0.2943910429778346 	 in ( Si-Fe)
Si-C: 	 0.1036396132545543, 	 Si-Fe: 	 0.6690835187957396 	 in ( C-Fe)

Fe-C: 	 0.06162847081236744, 	 Fe-Si: 	 0.708796494855678 	 in ( C-Si)
C-Fe: 	 0.16524904992964828, 	 C-Si: 	 0.2943910429778346 	 in ( Si-Fe)
Si-C: 	 0.1036396132545543, 	 Si-Fe: 	 0.6690835187957396 	 in ( C-Fe)
Fe-C: 	 0.06162847081236744, 	 Fe-Si: 	 0.708796494855678 	 in ( C-Si)
C-Fe: 	 0.16524904992964828, 	 C-Si: 	 0.2943910429778346 	 in ( Si-Fe)
Si-C: 	 0.1036396132545543, 	 Si-Fe: 	 0.6690835187957396 	 in ( C-Fe)
Fe-C: 	 0.06162847081236744, 	 Fe-Si: 	 0.708796494855678 	 in ( C-Si)
C-Fe: 	 0.16524904992964828, 	 C-Si: 	 0.2943910429778346 	 in ( Si-Fe)
Si-C: 	 0.1036396132545543, 	 Si-Fe: 	 0.6690835187957396 	 in ( C-Fe)

Fe-C: 	 0.06162847081236744, 	 Fe-Si: 	 0.708796494855678 	 in ( C-Si)
C-Fe: 	 0.16524904992964828, 	 C-Si: 	 0.2943910429778346 	 in ( Si-Fe)
Si-C: 	 0.1036396132545543, 	 Si-Fe: 	 0.6690835187957396 	 in ( C-Fe)

Fe-C: 	 0.06162847081236744, 	 Fe-Si: 	 0.708796494855678 	 in ( C-Si)
C-Fe: 	 0.16524904992964828, 	 C-Si: 	 0.2943910429778346 	 in ( Si-Fe)
Si-C: 	 0.1036396132545543, 	 Si-Fe: 	 0.6690835187957396 	 in ( C-Fe)
Fe-C: 	 0.06162847081236744, 	 Fe-Si: 	 0.708796494855678 	 in ( C-Si)
C-Fe: 	 0.16524904992964828, 	 C-Si: 	 0.2943910429778346 	 in ( Si-Fe)
Si-C: 	 0.1036396132545543, 	 Si-Fe: 	 0.6690835187957396 	 in ( C-Fe)
Fe-C: 	 0.06162847081236744, 	 Fe-Si: 	 0.708796494855678 	 in ( C-Si)
C-Fe: 	 0.16524904992964828, 	 C-Si: 	 0.2943910429778346 	 in ( Si-Fe)
Si-C: 	 0.1036396132545543, 	 Si-Fe: 	 0.6690835187957396 	 in ( C-Fe)
Fe-C: 	 0.06162847081236744, 	 Fe-Si: 	 0.708796494855678 	 in ( C-Si)
C-Fe: 	 0.16524904992964828, 	 C-Si: 	 0.2943910429778346 	 in ( Si-Fe)
Si-C: 	 0.1036396132545543, 	 Si-Fe: 	 0.6690835187957396 	 in ( C-Fe)
Fe-C: 	 0.15687149217297688, 	 Fe-Si: 	 0.42595868515054874 	 in ( C-Si)
C-Fe: 	 0.18638905183831242, 	 C-Si: 	 0.33425600096198727 	 in ( Si-Fe)
Si-C: 	 0.24559671586428555, 	 Si-Fe: 	 0.3718666157190542 	 in ( C-Fe)
Fe-C: 	 0.15687149217297688, 	 Fe-Si: 	 0.42595868515054874 	 in ( C-Si)
C-Fe: 	 0.18638905183831242, 	 C-Si: 	 0.33425600096198727 	 in ( Si-Fe)
Si-C: 	 0.24559671586428555, 	 Si-Fe: 	 0.3718666157190542 	 in ( C-Fe)
Fe-C: 	 0.15687149217297688, 	 Fe-Si: 	 0.42595868515054874 	 in ( C-Si)
C-Fe: 	 0.18638905183831242, 	 C-Si: 	 0.33425600096198727 	 in ( Si-Fe)
Si-C: 	 0.24559671586428555, 	 Si-Fe: 	 0.3718666157190542 	 in ( C-Fe)
Fe-C: 	 0.15687149217297688, 	 Fe-Si: 	 0.42595868515054874 	 in ( C-Si)
C-Fe: 	 0.18638905183831242, 	 C-Si: 	 0.33425600096198727 	 in ( Si-Fe)
Si-C: 	 0.24559671586428555, 	 Si-Fe: 	 0.3718666157190542 	 in ( C-Fe)
Fe-C: 	 0.15687149217297688, 	 Fe-Si: 	 0.42595868515054874 	 in ( C-Si)
C-Fe: 	 0.18638905183831242, 	 C-Si: 	 0.33425600096198727 	 in ( Si-Fe)
Si-C: 	 0.24559671586428555, 	 Si-Fe: 	 0.3718666157190542 	 in ( C-Fe)
Fe-C: 	 0.15687149217297688, 	 Fe-Si: 	 0.42595868515054874 	 in ( C-Si)
C-Fe: 	 0.18638905183831242, 	 C-Si: 	 0.33425600096198727 	 in ( Si-Fe)
Si-C: 	 0.24559671586428555, 	 Si-Fe: 	 0.3718666157190542 	 in ( C-Fe)
Fe-C: 	 0.14817972942640095, 	 Fe-Si: 	 0.470246306657195 	 in ( C-Si)
C-Fe: 	 0.19531901207801297, 	 C-Si: 	 0.32619621648393893 	 in ( Si-Fe)
Si-C: 	 0.22178233423000784, 	 Si-Fe: 	 0.421433587794933 	 in ( C-Fe)
Fe-C: 	 0.024965332450522494, 	 Fe-Al: 	 0.7587495262079045 	 in ( C-Al)
C-Fe: 	 0.12864547469404067, 	 C-Al: 	 0.08852449824482683 	 in ( Al-Fe)
Al-C: 	 0.017427838879936042, 	 Al-Fe: 	 0.769725111818936 	 in ( C-Fe)
Fe-C: 	 0.09286795010833934, 	 Fe-B: 	 0.515452051382913 	 in ( C-B)
C-Fe: 	 0.18154287306247896, 	 C-B: 	 0.169737112990736 	 in ( B-Fe)
B-C: 	 0.08756454510244933, 	 B-Fe: 	 0.519820140076762 	 in ( C-Fe)
Fe-C: 	 0.3068279412916602, 	 Fe-O: 	 0.4144176671850975 	 in ( C-O)
C-Fe: 	 0.42769912694447515, 	 C-O: 	 0.2096886649587632 	 in ( O-Fe)
O-C: 	 0.18126269967499373, 	 O-Fe: 	 0.49936167564952433 	 in ( C-Fe)
Fe-C: 	 0.3068279412916602, 	 Fe-O: 	 0.4144176671850975 	 in ( C-O)
C-Fe: 	 0.42769912694447515, 	 C-O: 	 0.2096886649587632 	 in ( O-Fe)
O-C: 	 0.18126269967499373, 	 O-Fe: 	 0.49936167564952433 	 in ( C-Fe)
Fe-C: 	 0.15687149217297688, 	 Fe-Si: 	 0.42595868515054874 	 in ( C-Si)
C-Fe: 	 0.18638905183831242, 	 C-Si: 	 0.33425600096198727 	 in ( Si-Fe)
Si-C: 	 0.24559671586428555, 	 Si-Fe: 	 0.3718666157190542 	 in ( C-Fe)
Fe-C: 	 0.15687149217297688, 	 Fe-Si: 	 0.42595868515054874 	 in ( C-Si)
C-Fe: 	 0.18638905183831242, 	 C-Si: 	 0.33425600096198727 	 in ( Si-Fe)
Si-C: 	 0.24559671586428555, 	 Si-Fe: 	 0.3718666157190542 	 in ( C-Fe)
Fe-C: 	 0.15687149217297688, 	 Fe-Si: 	 0.42595868515054874 	 in ( C-Si)
C-Fe: 	 0.18638905183831242, 	 C-Si: 	 0.33425600096198727 	 in ( Si-Fe)
Si-C: 	 0.24559671586428555, 	 Si-Fe: 	 0.3718666157190542 	 in ( C-Fe)
Fe-C: 	 0.15687149217297688, 	 Fe-Si: 	 0.42595868515054874 	 in ( C-Si)
C-Fe: 	 0.18638905183831242, 	 C-Si: 	 0.33425600096198727 	 in ( Si-Fe)
Si-C: 	 0.24559671586428555, 	 Si-Fe: 	 0.3718666157190542 	 in ( C-Fe)
Fe-C: 	 0.15687149217297688, 	 Fe-Si: 	 0.42595868515054874 	 in ( C-Si)
C-Fe: 	 0.18638905183831242, 	 C-Si: 	 0.33425600096198727 	 in ( Si-Fe)
Si-C: 	 0.24559671586428555, 	 Si-Fe: 	 0.3718666157190542 	 in ( C-Fe)
