Fe-C: 	 0.15687149217297688, 	 Fe-Si: 	 0.42595868515054874 	 in ( C-Si)
C-Fe: 	 0.18638905183831242, 	 C-Si: 	 0.33425600096198727 	 in ( Si-Fe)
Si-C: 	 0.24559671586428555, 	 Si-Fe: 	 0.3718666157190542 	 in ( C-Fe)
Fe-C: 	 0.15687149217297688, 	 Fe-Si: 	 0.42595868515054874 	 in ( C-Si)
C-Fe: 	 0.18638905183831242, 	 C-Si: 	 0.33425600096198727 	 in ( Si-Fe)
Si-C: 	 0.24559671586428555, 	 Si-Fe: 	 0.3718666157190542 	 in ( C-Fe)
Fe-C: 	 0.15687149217297688, 	 Fe-Si: 	 0.42595868515054874 	 in ( C-Si)
C-Fe: 	 0.18638905183831242, 	 C-Si: 	 0.33425600096198727 	 in ( Si-Fe)
Si-C: 	 0.24559671586428555, 	 Si-Fe: 	 0.3718666157190542 	 in ( C-Fe)
Fe-C: 	 0.15687149217297688, 	 Fe-Si: 	 0.42595868515054874 	 in ( C-Si)
C-Fe: 	 0.18638905183831242, 	 C-Si: 	 0.33425600096198727 	 in ( Si-Fe)
Si-C: 	 0.24559671586428555, 	 Si-Fe: 	 0.3718666157190542 	 in ( C-Fe)
Fe-C: 	 0.15687149217297688, 	 Fe-Si: 	 0.42595868515054874 	 in ( C-Si)
C-Fe: 	 0.18638905183831242, 	 C-Si: 	 0.33425600096198727 	 in ( Si-Fe)
Si-C: 	 0.24559671586428555, 	 Si-Fe: 	 0.3718666157190542 	 in ( C-Fe)
Fe-C: 	 0.15687149217297688, 	 Fe-Si: 	 0.42595868515054874 	 in ( C-Si)
C-Fe: 	 0.18638905183831242, 	 C-Si: 	 0.33425600096198727 	 in ( Si-Fe)
Si-C: 	 0.24559671586428555, 	 Si-Fe: 	 0.3718666157190542 	 in ( C-Fe)
Fe-C: 	 0.15687149217297688, 	 Fe-Si: 	 0.42595868515054874 	 in ( C-Si)
C-Fe: 	 0.18638905183831242, 	 C-Si: 	 0.33425600096198727 	 in ( Si-Fe)
Si-C: 	 0.24559671586428555, 	 Si-Fe: 	 0.3718666157190542 	 in ( C-Fe)
Fe-C: 	 0.15687149217297688, 	 Fe-Si: 	 0.42595868515054874 	 in ( C-Si)
C-Fe: 	 0.18638905183831242, 	 C-Si: 	 0.33425600096198727 	 in ( Si-Fe)
Si-C: 	 0.24559671586428555, 	 Si-Fe: 	 0.3718666157190542 	 in ( C-Fe)
Fe-C: 	 0.15687149217297688, 	 Fe-Si: 	 0.42595868515054874 	 in ( C-Si)
C-Fe: 	 0.18638905183831242, 	 C-Si: 	 0.33425600096198727 	 in ( Si-Fe)
Si-C: 	 0.24559671586428555, 	 Si-Fe: 	 0.3718666157190542 	 in ( C-Fe)
Al-Cu: 	 0.798297426834224, 	 Al-Si: 	 0.006044566595434659 	 in ( Cu-Si)
Cu-Al: 	 0.7839454611126181, 	 Cu-Si: 	 0.012940989624687873 	 in ( Si-Al)
Si-Cu: 	 0.09063872907434932, 	 Si-Al: 	 0.041575033283502066 	 in ( Cu-Al)
Al-Cu: 	 0.1489081840993593, 	 Al-Mn: 	 0.015784743391887544 	 in ( Cu-Mn)
Cu-Al: 	 0.04957107261387277, 	 Cu-Mn: 	 0.5051177258350728 	 in ( Mn-Al)
Mn-Cu: 	 0.5692970767969767, 	 Mn-Al: 	 0.005922343856942652 	 in ( Cu-Al)
Fe-C: 	 0.15687149217297688, 	 Fe-Si: 	 0.42595868515054874 	 in ( C-Si)
C-Fe: 	 0.18638905183831242, 	 C-Si: 	 0.33425600096198727 	 in ( Si-Fe)
Si-C: 	 0.24559671586428555, 	 Si-Fe: 	 0.3718666157190542 	 in ( C-Fe)
Fe-C: 	 0.15687149217297688, 	 Fe-Si: 	 0.42595868515054874 	 in ( C-Si)
C-Fe: 	 0.18638905183831242, 	 C-Si: 	 0.33425600096198727 	 in ( Si-Fe)
Si-C: 	 0.24559671586428555, 	 Si-Fe: 	 0.3718666157190542 	 in ( C-Fe)
Fe-C: 	 0.15687149217297688, 	 Fe-Si: 	 0.42595868515054874 	 in ( C-Si)
C-Fe: 	 0.18638905183831242, 	 C-Si: 	 0.33425600096198727 	 in ( Si-Fe)
Si-C: 	 0.24559671586428555, 	 Si-Fe: 	 0.3718666157190542 	 in ( C-Fe)
